modifier	lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
xglm-base	en-cs	91.8	85.7	76.0	20.7	41.0	73.4	34.2	70.6
xglm-base-trim	en-cs	16.7	25.0	6.4	7.8	12.0	17.3	14.4	14.6
verbose-base	en-cs	16.7	26.4	6.7	8.7	13.4	17.7	14.9	13.9
verbose-base-trim	en-cs	16.6	26.4	6.6	8.7	13.4	17.7	14.9	13.9
xglm-label	en-cs	27.2	41.0	16.9	8.6	18.3	25.3	15.6	42.7
xglm-label-trim	en-cs	14.5	24.5	6.0	6.8	10.3	18.3	14.1	12.6
xglm-rand-label	en-cs	25.5	43.6	30.7	8.6	18.8	22.6	17.2	40.5
xglm-rand-label-trim	en-cs	13.9	24.2	6.2	6.8	10.9	17.5	15.6	13.3
xglm-keywords10-seen200	en-cs	34.5	53.3	53.4	14.4	27.8	53.8	22.0	54.8
xglm-keywords10-seen200-trim	en-cs	16.1	24.8	8.0	7.8	12.4	16.4	15.7	14.7
xglm-rand-keywords10-seen200	en-cs	31.5	52.1	51.3	11.2	23.1	41.2	18.5	53.8
xglm-rand-keywords10-seen200-trim	en-cs	15.1	24.6	7.2	7.3	12.2	15.8	14.6	13.5
xglm-keywords10-all500	en-cs	30.3	50.2	48.4	11.6	22.4	30.0	16.4	47.9
xglm-keywords10-all500-trim	en-cs	NA	NA	NA	NA	NA	NA	NA	NA
xglm-keywords30-seen200	en-cs	34.9	57.3	61.8	13.8	26.1	46.0	16.9	NA
xglm-keywords30-seen200-trim	en-cs	16.0	24.9	7.9	7.1	12.5	16.5	14.7	NA
xglm-topic3shot-seen200	en-cs	NA	NA	NA	NA	NA	NA	NA	14.8
xglm-topic3shot-seen200-trim	en-cs	NA	NA	NA	NA	NA	NA	NA	NA
xglm-topic3shot-all500	en-cs	16.9	26.3	9.6	7.4	12.6	20.0	13.9	14.3
xglm-topic3shot-all500-trim	en-cs	15.3	24.4	6.2	7.2	11.6	16.9	13.8	12.7
xglm-topic3shot-cc100	en-cs	NA	NA	NA	NA	NA	NA	NA	NA
xglm-topic3shot-cc100-trim	en-cs	NA	NA	NA	NA	NA	NA	NA	NA
xglm-topic1shot-seen200	en-cs	21.3	29.2	17.6	8.5	16.7	23.8	17.1	22.6
xglm-topic1shot-seen200-trim	en-cs	14.6	24.8	7.1	7.2	12.4	16.7	14.3	12.8
xglm-rand-topic3shot-seen200	en-cs	NA	NA	NA	NA	NA	NA	NA	15.1
xglm-rand-topic3shot-seen200-trim	en-cs	14.1	24.4	6.2	6.8	12.4	16.8	14.1	13.0
xglm-rand-domain3shot-langs	en-cs	15.1	24.8	6.0	6.7	11.9	17.1	14.7	NA
xglm-rand-domain3shot-langs-trim	en-cs	15.0	24.5	6.0	6.7	11.9	17.1	14.7	NA
xglm-rand-domain3shot-all	en-cs	16.2	25.9	6.9	7.0	12.3	16.8	14.6	NA
xglm-rand-domain3shot-all-trim	en-cs	14.8	24.1	6.0	7.0	11.8	16.8	14.6	NA
xglm-truerand-3shot-langs	en-cs	15.1	24.8	6.1	6.7	11.5	17.0	14.3	NA
xglm-truerand-3shot-langs-trim	en-cs	14.9	24.7	6.1	6.7	11.5	17.0	14.2	NA
xglm-truerand-3shot-all	en-cs	15.7	24.8	6.5	7.2	12.2	17.0	14.5	NA
xglm-truerand-3shot-all-trim	en-cs	14.8	24.3	6.0	7.2	11.5	16.6	14.5	NA
xglm-topic5shot-seen200	en-cs	16.7	26.7	12.6	6.9	12.7	17.9	15.2	NA
xglm-topic5shot-seen200-trim	en-cs	15.3	24.4	6.7	6.6	11.3	17.0	14.6	NA
xglm-keywords10-cc100	en-cs	30.1	52.4	50.7	10.2	23.3	35.7	16.2	NA
xglm-keywords10-cc100-trim	en-cs	16.3	25.3	7.3	6.6	12.7	16.4	15.1	NA
xglm-keywords10-topic3shot-seen200	en-cs	17.9	27.5	10.9	7.5	12.7	18.2	15.2	NA
xglm-keywords10-topic3shot-seen200-trim	en-cs	14.9	24.2	6.5	7.1	12.1	16.0	14.6	NA
xglm-rand-domainkeywords10-langs	en-cs	NA	NA	NA	NA	NA	NA	NA	NA
xglm-rand-domainkeywords10-langs-trim	en-cs	NA	NA	NA	NA	NA	NA	NA	NA
xglm-rand-domainkeywords10-all	en-cs	NA	NA	NA	NA	NA	NA	NA	NA
xglm-rand-domainkeywords10-all-trim	en-cs	NA	NA	NA	NA	NA	NA	NA	NA
xglm-truerand-keywords10-langs	en-cs	NA	NA	NA	NA	NA	NA	NA	NA
xglm-truerand-keywords10-langs-trim	en-cs	NA	NA	NA	NA	NA	NA	NA	NA
xglm-truerand-keywords10-all	en-cs	NA	NA	NA	NA	NA	NA	NA	NA
xglm-truerand-keywords10-all-trim	en-cs	NA	NA	NA	NA	NA	NA	NA	NA
xglm-topic3shot-seen500	en-cs	NA	NA	NA	NA	NA	NA	NA	NA
xglm-topic3shot-seen500-trim	en-cs	NA	NA	NA	NA	NA	NA	NA	NA
xglm-topic3shot-seen1000	en-cs	NA	NA	NA	NA	NA	NA	NA	NA
xglm-topic3shot-seen1000-trim	en-cs	NA	NA	NA	NA	NA	NA	NA	NA
xglm-topic3shot-seen2000	en-cs	NA	NA	NA	NA	NA	NA	NA	NA
xglm-topic3shot-seen2000-trim	en-cs	NA	NA	NA	NA	NA	NA	NA	NA
xglm-topic3shot-all500	en-cs	16.9	26.3	9.6	7.4	12.6	20.0	13.9	14.3
xglm-topic3shot-all500-trim	en-cs	15.3	24.4	6.2	7.2	11.6	16.9	13.8	12.7
xglm-topic3shot-all1000	en-cs	NA	NA	NA	NA	NA	NA	NA	NA
xglm-topic3shot-all1000-trim	en-cs	NA	NA	NA	NA	NA	NA	NA	NA
xglm-topic3shot-all2000	en-cs	NA	NA	NA	NA	NA	NA	NA	NA
xglm-topic3shot-all2000-trim	en-cs	NA	NA	NA	NA	NA	NA	NA	NA
xglm-bm25-3shot-all	en-cs	NA	NA	NA	NA	NA	NA	NA	NA
xglm-bm25-3shot-all-trim	en-cs	NA	NA	NA	NA	NA	NA	NA	NA
xglm-bm25-3shot-langsxglm-bm25-3shot-langs-trim	en-cs	NA	NA	NA	NA	NA	NA	NA	NA
xglm-sentsim-3shot-langs	en-cs	NA	NA	NA	NA	NA	NA	NA	NA
xglm-sentsim-3shot-langs-trim	en-cs	NA	NA	NA	NA	NA	NA	NA	NA
xglm-sentsim-3shot-all	en-cs	NA	NA	NA	NA	NA	NA	NA	NA
xglm-sentsim-3shot-all-trim	en-cs	NA	NA	NA	NA	NA	NA	NA	NA
xglm-topic3shot-lang200	en-cs	NA	NA	NA	NA	NA	NA	NA	NA
xglm-topic3shot-lang200-trim	en-cs	NA	NA	NA	NA	NA	NA	NA	NA
xglm-topic3shot-lang500	en-cs	NA	NA	NA	NA	NA	NA	NA	NA
xglm-topic3shot-lang500-trim	en-cs	NA	NA	NA	NA	NA	NA	NA	NA
xglm-topic3shot-domain200	en-cs	NA	NA	NA	NA	NA	NA	NA	NA
xglm-topic3shot-domain200-trim	en-cs	NA	NA	NA	NA	NA	NA	NA	NA
xglm-bm25-3shot-seen-all	en-cs	NA	NA	NA	NA	NA	NA	NA	NA
xglm-bm25-3shot-seen-all-trim	en-cs	NA	NA	NA	NA	NA	NA	NA	NA
xglm-sentsim-3shot-seen-all	en-cs	NA	NA	NA	NA	NA	NA	NA	NA
xglm-sentsim-3shot-seen-all-trim	en-cs	NA	NA	NA	NA	NA	NA	NA	NA
xglm-base	en-de	51.5	95.2	69.2	15.1	32.4	32.2	28.9	52.5
xglm-base-trim	en-de	15.6	28.1	11.6	7.7	13.8	16.5	15.8	11.8
verbose-base	en-de	15.9	28.1	11.3	8.2	14.2	17.6	16.8	11.4
verbose-base-trim	en-de	15.8	28.1	11.2	8.2	14.2	17.6	16.8	11.4
xglm-label	en-de	28.4	43.6	23.3	8.3	19.1	24.5	17.2	29.6
xglm-label-trim	en-de	15.0	26.4	11.0	7.8	13.6	16.7	16.5	10.6
xglm-rand-label	en-de	27.1	46.4	31.5	8.2	17.6	24.1	16.7	31.6
xglm-rand-label-trim	en-de	15.1	26.2	11.0	7.7	14.0	16.7	16.3	10.7
xglm-keywords10-seen200	en-de	39.0	63.6	64.6	20.2	34.7	63.2	29.9	60.3
xglm-keywords10-seen200-trim	en-de	15.7	26.9	11.7	7.8	14.0	16.9	16.5	11.2
xglm-rand-keywords10-seen200	en-de	36.0	60.6	56.1	11.6	21.9	44.8	19.1	53.6
xglm-rand-keywords10-seen200-trim	en-de	16.0	26.6	12.2	8.2	14.0	17.1	16.6	11.2
xglm-keywords10-all500	en-de	33.9	58.8	53.1	11.4	23.0	32.4	18.1	50.2
xglm-keywords10-all500-trim	en-de	NA	NA	NA	NA	NA	NA	NA	NA
xglm-keywords30-seen200	en-de	39.0	64.1	60.9	12.4	23.4	47.8	19.0	NA
xglm-keywords30-seen200-trim	en-de	16.3	26.2	11.8	8.1	14.4	17.2	16.7	NA
xglm-topic3shot-seen200	en-de	NA	28.6	NA	NA	NA	NA	NA	13.6
xglm-topic3shot-seen200-trim	en-de	NA	NA	NA	NA	NA	NA	NA	NA
xglm-topic3shot-all500	en-de	16.7	27.8	13.5	8.1	14.0	23.0	16.6	13.1
