modifier	lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
xglm-base	en-cs	30.0	62.0	23.0	76.8	70.8	66.2	79.2	36.6
xglm-base-trim	en-cs	41.4	79.8	59.8	82.8	78.4	90.0	83.4	52.2
verbose-base	en-cs	95.0	98.8	89.8	93.0	96.0	97.8	98.2	88.6
verbose-base-trim	en-cs	94.8	98.6	89.6	93.0	96.0	97.8	98.2	88.6
xglm-label	en-cs	72.6	85.4	52.0	88.4	82.0	93.0	93.0	51.2
xglm-label-trim	en-cs	76.8	90.6	56.6	89.2	84.8	97.4	94.0	58.4
xglm-rand-label	en-cs	68.8	83.4	54.8	87.0	81.8	95.2	93.4	55.0
xglm-rand-label-trim	en-cs	72.2	90.4	64.2	88.2	84.2	97.8	94.0	63.0
xglm-keywords10-seen200	en-cs	78.0	82.6	46.4	87.4	82.4	82.2	93.4	52.4
xglm-keywords10-seen200-trim	en-cs	86.8	95.4	78.0	92.4	91.6	97.6	96.6	77.6
xglm-rand-keywords10-seen200	en-cs	77.2	81.8	49.8	88.8	86.6	87.2	95.2	55.8
xglm-rand-keywords10-seen200-trim	en-cs	87.0	92.6	72.0	91.2	93.0	99.0	96.2	75.6
xglm-keywords10-all500	en-cs	80.0	84.8	54.0	88.0	89.8	90.6	96.2	58.4
xglm-keywords10-all500-trim	en-cs	NA	NA	NA	NA	NA	NA	NA	NA
xglm-keywords30-seen200	en-cs	78.8	82.0	46.8	86.6	87.8	84.6	96.4	NA
xglm-keywords30-seen200-trim	en-cs	88.2	96.2	75.2	90.2	94.0	97.8	97.0	NA
xglm-topic3shot-seen200	en-cs	NA	NA	NA	NA	NA	NA	NA	84.6
xglm-topic3shot-seen200-trim	en-cs	NA	NA	NA	NA	NA	NA	NA	NA
xglm-topic3shot-all500	en-cs	94.6	98.2	87.6	92.4	93.6	92.6	98.8	86.2
xglm-topic3shot-all500-trim	en-cs	95.6	99.2	90.6	92.8	94.8	98.6	99.0	87.0
xglm-topic3shot-cc100	en-cs	NA	NA	NA	NA	NA	NA	NA	NA
xglm-topic3shot-cc100-trim	en-cs	NA	NA	NA	NA	NA	NA	NA	NA
xglm-topic1shot-seen200	en-cs	89.8	96.0	77.8	92.0	89.6	91.4	94.6	77.6
xglm-topic1shot-seen200-trim	en-cs	94.0	98.2	88.2	93.0	91.8	97.4	96.6	84.0
xglm-rand-topic3shot-seen200	en-cs	NA	NA	NA	NA	NA	NA	NA	85.2
xglm-rand-topic3shot-seen200-trim	en-cs	96.6	98.2	88.8	92.2	95.6	99.6	97.8	87.0
xglm-rand-domain3shot-langs	en-cs	97.8	99.4	92.2	93.0	97.0	99.2	98.8	NA
xglm-rand-domain3shot-langs-trim	en-cs	97.6	99.2	92.2	93.0	97.0	99.2	98.8	NA
xglm-rand-domain3shot-all	en-cs	94.8	98.8	89.6	93.0	95.6	98.4	99.2	NA
xglm-rand-domain3shot-all-trim	en-cs	95.4	99.4	90.2	93.0	95.6	98.6	99.2	NA
xglm-truerand-3shot-langs	en-cs	97.2	99.0	92.4	93.8	96.8	98.4	99.0	NA
xglm-truerand-3shot-langs-trim	en-cs	97.0	98.8	92.4	93.8	96.6	98.4	99.0	NA
xglm-truerand-3shot-all	en-cs	95.8	99.2	90.2	93.2	95.8	98.6	98.2	NA
xglm-truerand-3shot-all-trim	en-cs	96.4	99.0	90.4	93.2	96.2	99.0	98.2	NA
xglm-topic5shot-seen200	en-cs	96.6	96.4	86.6	93.2	94.8	98.4	97.8	NA
xglm-topic5shot-seen200-trim	en-cs	97.6	97.8	91.2	93.4	95.8	98.8	98.2	NA
xglm-keywords10-cc100	en-cs	80.8	81.4	50.2	88.6	88.8	89.2	96.6	NA
xglm-keywords10-cc100-trim	en-cs	88.4	94.8	77.4	91.0	93.6	97.8	97.0	NA
xglm-keywords10-topic3shot-seen200	en-cs	94.4	97.2	86.8	91.0	94.8	97.4	98.4	NA
xglm-keywords10-topic3shot-seen200-trim	en-cs	96.6	99.0	90.0	91.4	95.2	98.8	98.6	NA
xglm-rand-domainkeywords10-langs	en-cs	NA	NA	NA	NA	NA	NA	NA	NA
xglm-rand-domainkeywords10-langs-trim	en-cs	NA	NA	NA	NA	NA	NA	NA	NA
xglm-rand-domainkeywords10-all	en-cs	NA	NA	NA	NA	NA	NA	NA	NA
xglm-rand-domainkeywords10-all-trim	en-cs	NA	NA	NA	NA	NA	NA	NA	NA
xglm-truerand-keywords10-langs	en-cs	NA	NA	NA	NA	NA	NA	NA	NA
xglm-truerand-keywords10-langs-trim	en-cs	NA	NA	NA	NA	NA	NA	NA	NA
xglm-truerand-keywords10-all	en-cs	NA	NA	NA	NA	NA	NA	NA	NA
xglm-truerand-keywords10-all-trim	en-cs	NA	NA	NA	NA	NA	NA	NA	NA
xglm-topic3shot-seen500	en-cs	NA	NA	NA	NA	NA	NA	NA	NA
xglm-topic3shot-seen500-trim	en-cs	NA	NA	NA	NA	NA	NA	NA	NA
xglm-topic3shot-seen1000	en-cs	NA	NA	NA	NA	NA	NA	NA	NA
xglm-topic3shot-seen1000-trim	en-cs	NA	NA	NA	NA	NA	NA	NA	NA
xglm-topic3shot-seen2000	en-cs	NA	NA	NA	NA	NA	NA	NA	NA
xglm-topic3shot-seen2000-trim	en-cs	NA	NA	NA	NA	NA	NA	NA	NA
xglm-topic3shot-all500	en-cs	94.6	98.2	87.6	92.4	93.6	92.6	98.8	86.2
xglm-topic3shot-all500-trim	en-cs	95.6	99.2	90.6	92.8	94.8	98.6	99.0	87.0
xglm-topic3shot-all1000	en-cs	NA	NA	NA	NA	NA	NA	NA	NA
xglm-topic3shot-all1000-trim	en-cs	NA	NA	NA	NA	NA	NA	NA	NA
xglm-topic3shot-all2000	en-cs	NA	NA	NA	NA	NA	NA	NA	NA
xglm-topic3shot-all2000-trim	en-cs	NA	NA	NA	NA	NA	NA	NA	NA
xglm-bm25-3shot-all	en-cs	NA	NA	NA	NA	NA	NA	NA	NA
xglm-bm25-3shot-all-trim	en-cs	NA	NA	NA	NA	NA	NA	NA	NA
xglm-bm25-3shot-langsxglm-bm25-3shot-langs-trim	en-cs	NA	NA	NA	NA	NA	NA	NA	NA
xglm-sentsim-3shot-langs	en-cs	NA	NA	NA	NA	NA	NA	NA	NA
xglm-sentsim-3shot-langs-trim	en-cs	NA	NA	NA	NA	NA	NA	NA	NA
xglm-sentsim-3shot-all	en-cs	NA	NA	NA	NA	NA	NA	NA	NA
xglm-sentsim-3shot-all-trim	en-cs	NA	NA	NA	NA	NA	NA	NA	NA
xglm-topic3shot-lang200	en-cs	NA	NA	NA	NA	NA	NA	NA	NA
xglm-topic3shot-lang200-trim	en-cs	NA	NA	NA	NA	NA	NA	NA	NA
xglm-topic3shot-lang500	en-cs	NA	NA	NA	NA	NA	NA	NA	NA
xglm-topic3shot-lang500-trim	en-cs	NA	NA	NA	NA	NA	NA	NA	NA
xglm-topic3shot-domain200	en-cs	NA	NA	NA	NA	NA	NA	NA	NA
xglm-topic3shot-domain200-trim	en-cs	NA	NA	NA	NA	NA	NA	NA	NA
xglm-bm25-3shot-seen-all	en-cs	NA	NA	NA	NA	NA	NA	NA	NA
xglm-bm25-3shot-seen-all-trim	en-cs	NA	NA	NA	NA	NA	NA	NA	NA
xglm-sentsim-3shot-seen-all	en-cs	NA	NA	NA	NA	NA	NA	NA	NA
xglm-sentsim-3shot-seen-all-trim	en-cs	NA	NA	NA	NA	NA	NA	NA	NA
xglm-base	en-de	57.2	58.4	40.6	92.0	86.0	87.6	88.6	59.6
xglm-base-trim	en-de	67.2	76.0	64.8	94.8	89.2	97.0	93.0	73.2
verbose-base	en-de	96.8	98.2	94.0	98.0	97.4	98.6	98.8	97.4
verbose-base-trim	en-de	96.8	98.2	94.0	98.0	97.4	98.6	98.8	97.2
xglm-label	en-de	80.8	84.8	67.0	97.2	93.4	92.6	96.4	73.4
xglm-label-trim	en-de	87.4	96.8	73.8	97.6	96.0	99.2	96.6	83.0
xglm-rand-label	en-de	77.2	83.0	65.4	96.8	94.4	93.2	97.6	73.2
xglm-rand-label-trim	en-de	83.6	96.2	73.2	97.0	96.0	98.4	97.8	84.0
xglm-keywords10-seen200	en-de	74.0	70.8	46.4	88.0	80.4	63.2	88.6	55.0
xglm-keywords10-seen200-trim	en-de	93.4	98.4	86.0	99.0	98.2	98.8	99.2	91.0
xglm-rand-keywords10-seen200	en-de	77.4	73.8	53.6	96.2	91.8	77.4	97.0	60.0
xglm-rand-keywords10-seen200-trim	en-de	90.4	97.4	82.2	98.4	98.2	99.0	99.2	89.8
xglm-keywords10-all500	en-de	76.6	72.4	58.0	95.2	91.6	86.2	97.8	61.4
xglm-keywords10-all500-trim	en-de	NA	NA	NA	NA	NA	NA	NA	NA
xglm-keywords30-seen200	en-de	73.8	68.8	53.6	95.2	91.6	76.6	97.6	NA
xglm-keywords30-seen200-trim	en-de	91.6	98.4	85.2	98.8	98.2	98.6	99.2	NA
xglm-topic3shot-seen200	en-de	NA	97.4	NA	NA	NA	NA	NA	93.4
xglm-topic3shot-seen200-trim	en-de	NA	NA	NA	NA	NA	NA	NA	NA
xglm-topic3shot-all500	en-de	96.2	98.2	89.6	97.6	97.2	83.0	98.8	92.0
xglm-topic3shot-all500-trim	en-de	97.6	100.0	92.6	98.8	98.8	99.8	99.4	95.4
xglm-topic3shot-cc100	en-de	NA	NA	NA	NA	NA	NA	NA	NA
xglm-topic3shot-cc100-trim	en-de	NA	NA	NA	NA	NA	NA	NA	NA
xglm-topic1shot-seen200	en-de	79.4	86.0	72.8	90.6	91.4	80.4	92.4	76.6
xglm-topic1shot-seen200-trim	en-de	96.4	99.6	91.8	99.2	98.0	99.0	98.4	94.0
xglm-rand-topic3shot-seen200	en-de	95.0	96.4	90.2	98.2	97.4	98.2	98.8	94.2
xglm-rand-topic3shot-seen200-trim	en-de	97.8	99.6	92.2	98.6	97.6	99.4	99.2	96.4
xglm-rand-domain3shot-langs	en-de	98.0	99.6	92.6	98.8	98.4	99.4	99.6	NA
xglm-rand-domain3shot-langs-trim	en-de	98.0	100.0	92.6	98.8	98.4	99.4	99.6	NA
xglm-rand-domain3shot-all	en-de	97.0	98.6	93.6	99.0	98.8	99.0	99.6	NA
xglm-rand-domain3shot-all-trim	en-de	98.0	99.8	94.0	99.2	99.0	99.6	99.6	NA
xglm-truerand-3shot-langs	en-de	97.8	99.8	92.6	99.0	98.6	99.4	99.6	NA
xglm-truerand-3shot-langs-trim	en-de	97.8	99.8	92.8	99.0	98.6	99.4	99.6	NA
xglm-truerand-3shot-all	en-de	97.0	98.8	92.8	98.8	98.2	99.0	99.6	NA
xglm-truerand-3shot-all-trim	en-de	98.0	99.8	93.4	99.2	98.6	99.4	99.6	NA
xglm-topic5shot-seen200	en-de	95.0	97.2	89.8	99.4	98.4	97.2	99.4	NA
xglm-topic5shot-seen200-trim	en-de	96.4	99.6	92.6	99.4	98.8	99.6	99.6	NA
xglm-keywords10-cc100	en-de	77.6	71.4	53.8	95.0	91.8	84.4	98.0	NA
xglm-keywords10-cc100-trim	en-de	91.8	96.6	84.2	98.2	97.8	98.6	99.0	NA
xglm-keywords10-topic3shot-seen200	en-de	95.2	97.2	91.6	99.0	97.0	96.0	98.4	NA
xglm-keywords10-topic3shot-seen200-trim	en-de	96.6	99.4	93.2	99.2	98.8	99.0	99.6	NA
xglm-rand-domainkeywords10-langs	en-de	NA	NA	NA	NA	NA	NA	NA	NA
xglm-rand-domainkeywords10-langs-trim	en-de	NA	NA	NA	NA	NA	NA	NA	NA
xglm-rand-domainkeywords10-all	en-de	NA	NA	NA	NA	NA	NA	NA	NA
xglm-rand-domainkeywords10-all-trim	en-de	NA	NA	NA	NA	NA	NA	NA	NA
xglm-truerand-keywords10-langs	en-de	NA	NA	NA	NA	NA	NA	NA	NA
xglm-truerand-keywords10-langs-trim	en-de	NA	NA	NA	NA	NA	NA	NA	NA
xglm-truerand-keywords10-all	en-de	NA	NA	NA	NA	NA	NA	NA	NA
xglm-truerand-keywords10-all-trim	en-de	NA	NA	NA	NA	NA	NA	NA	NA
xglm-topic3shot-seen500	en-de	NA	NA	NA	NA	NA	NA	NA	NA
xglm-topic3shot-seen500-trim	en-de	NA	NA	NA	NA	NA	NA	NA	NA
xglm-topic3shot-seen1000	en-de	NA	NA	NA	NA	NA	NA	NA	NA
xglm-topic3shot-seen1000-trim	en-de	NA	NA	NA	NA	NA	NA	NA	NA
xglm-topic3shot-seen2000	en-de	NA	NA	NA	NA	NA	NA	NA	NA
xglm-topic3shot-seen2000-trim	en-de	NA	NA	NA	NA	NA	NA	NA	NA
xglm-topic3shot-all500	en-de	96.2	98.2	89.6	97.6	97.2	83.0	98.8	92.0
xglm-topic3shot-all500-trim	en-de	97.6	100.0	92.6	98.8	98.8	99.8	99.4	95.4
xglm-topic3shot-all1000	en-de	NA	NA	NA	NA	NA	NA	NA	NA
xglm-topic3shot-all1000-trim	en-de	NA	NA	NA	NA	NA	NA	NA	NA
xglm-topic3shot-all2000	en-de	NA	NA	NA	NA	NA	NA	NA	NA
xglm-topic3shot-all2000-trim	en-de	NA	NA	NA	NA	NA	NA	NA	NA
xglm-bm25-3shot-all	en-de	NA	NA	NA	NA	NA	NA	NA	NA
xglm-bm25-3shot-all-trim	en-de	NA	NA	NA	NA	NA	NA	NA	NA
xglm-bm25-3shot-langsxglm-bm25-3shot-langs-trim	en-de	NA	NA	NA	NA	NA	NA	NA	NA
xglm-sentsim-3shot-langs	en-de	NA	NA	NA	NA	NA	NA	NA	NA
xglm-sentsim-3shot-langs-trim	en-de	NA	NA	NA	NA	NA	NA	NA	NA
xglm-sentsim-3shot-all	en-de	NA	NA	NA	NA	NA	NA	NA	NA
xglm-sentsim-3shot-all-trim	en-de	NA	NA	NA	NA	NA	NA	NA	NA
xglm-topic3shot-lang200	en-de	NA	NA	NA	NA	NA	NA	NA	NA
xglm-topic3shot-lang200-trim	en-de	NA	NA	NA	NA	NA	NA	NA	NA
xglm-topic3shot-lang500	en-de	NA	NA	NA	NA	NA	NA	NA	NA
xglm-topic3shot-lang500-trim	en-de	NA	NA	NA	NA	NA	NA	NA	NA
xglm-topic3shot-domain200	en-de	NA	NA	NA	NA	NA	NA	NA	NA
xglm-topic3shot-domain200-trim	en-de	NA	NA	NA	NA	NA	NA	NA	NA
xglm-bm25-3shot-seen-all	en-de	NA	NA	NA	NA	NA	NA	NA	NA
xglm-bm25-3shot-seen-all-trim	en-de	NA	NA	NA	NA	NA	NA	NA	NA
xglm-sentsim-3shot-seen-all	en-de	NA	NA	NA	NA	NA	NA	NA	NA
xglm-sentsim-3shot-seen-all-trim	en-de	NA	NA	NA	NA	NA	NA	NA	NA
xglm-base	en-fi	12.8	31.6	11.4	56.8	49.2	NA	53.0	19.6
xglm-base-trim	en-fi	22.2	61.0	36.2	65.4	57.6	NA	58.0	33.0
verbose-base	en-fi	95.6	96.6	92.4	95.2	96.8	NA	98.4	92.0
verbose-base-trim	en-fi	95.4	96.6	92.4	95.2	96.8	NA	98.4	92.0
xglm-label	en-fi	58.0	85.0	45.4	91.4	87.4	NA	92.0	41.2
xglm-label-trim	en-fi	62.4	92.4	50.0	91.8	90.4	NA	92.4	50.2
xglm-rand-label	en-fi	55.6	79.0	45.6	86.0	84.6	NA	91.8	45.6
xglm-rand-label-trim	en-fi	60.0	88.4	56.4	87.6	87.0	NA	92.4	55.8
xglm-keywords10-seen200	en-fi	61.8	73.8	32.4	84.6	81.0	NA	90.0	38.2
xglm-keywords10-seen200-trim	en-fi	75.6	94.4	69.6	93.0	93.0	NA	96.4	65.0
xglm-rand-keywords10-seen200	en-fi	70.0	76.4	43.2	91.0	88.6	NA	95.8	42.2
xglm-rand-keywords10-seen200-trim	en-fi	77.4	94.8	68.0	93.0	93.0	NA	97.2	62.4
xglm-keywords10-all500	en-fi	71.0	80.2	49.6	91.6	88.4	NA	95.8	50.0
xglm-keywords10-all500-trim	en-fi	NA	NA	NA	NA	NA	NA	NA	NA
xglm-keywords30-seen200	en-fi	65.6	73.6	38.0	88.4	86.8	NA	94.8	NA
xglm-keywords30-seen200-trim	en-fi	76.2	94.8	70.0	92.2	92.2	NA	95.8	NA
xglm-topic3shot-seen200	en-fi	NA	97.2	NA	NA	NA	NA	NA	82.2
xglm-topic3shot-seen200-trim	en-fi	NA	NA	NA	NA	NA	NA	NA	NA
xglm-topic3shot-all500	en-fi	93.6	97.0	85.0	95.2	95.2	NA	99.4	83.8
xglm-topic3shot-all500-trim	en-fi	95.0	98.6	88.2	95.4	96.0	NA	99.4	87.6
xglm-topic3shot-cc100	en-fi	NA	NA	NA	NA	NA	NA	NA	NA
xglm-topic3shot-cc100-trim	en-fi	NA	NA	NA	NA	NA	NA	NA	NA
xglm-topic1shot-seen200	en-fi	81.0	94.4	77.6	92.6	92.4	NA	92.8	73.4
xglm-topic1shot-seen200-trim	en-fi	91.4	98.0	87.4	94.8	95.2	NA	96.6	81.4
xglm-rand-topic3shot-seen200	en-fi	95.0	96.4	85.8	94.4	95.0	NA	96.6	82.6
xglm-rand-topic3shot-seen200-trim	en-fi	96.0	97.6	87.8	94.8	96.0	NA	97.4	84.2
xglm-rand-domain3shot-langs	en-fi	97.4	99.2	88.8	96.2	98.6	NA	99.2	NA
xglm-rand-domain3shot-langs-trim	en-fi	97.2	99.0	88.8	96.2	98.6	NA	99.2	NA
xglm-rand-domain3shot-all	en-fi	96.0	98.2	90.4	94.8	95.8	NA	99.2	NA
xglm-rand-domain3shot-all-trim	en-fi	96.8	98.4	91.6	94.8	96.4	NA	99.2	NA
xglm-truerand-3shot-langs	en-fi	96.8	98.2	91.2	96.4	98.6	NA	99.2	NA
xglm-truerand-3shot-langs-trim	en-fi	96.6	98.4	91.2	96.4	98.6	NA	99.2	NA
xglm-truerand-3shot-all	en-fi	96.0	96.4	92.2	96.4	96.2	NA	98.4	NA
xglm-truerand-3shot-all-trim	en-fi	96.4	97.8	93.0	96.4	96.6	NA	98.4	NA
xglm-topic5shot-seen200	en-fi	92.8	96.0	87.0	95.8	94.8	NA	98.6	NA
xglm-topic5shot-seen200-trim	en-fi	95.0	97.2	90.8	95.8	96.2	NA	98.8	NA
xglm-keywords10-cc100	en-fi	73.6	76.8	42.0	90.2	87.8	NA	95.6	NA
xglm-keywords10-cc100-trim	en-fi	82.6	95.8	72.0	93.0	92.8	NA	96.2	NA
xglm-keywords10-topic3shot-seen200	en-fi	94.4	97.4	86.8	94.4	96.4	NA	98.0	NA
xglm-keywords10-topic3shot-seen200-trim	en-fi	95.6	98.4	90.4	95.0	97.6	NA	99.0	NA
xglm-rand-domainkeywords10-langs	en-fi	NA	NA	NA	NA	NA	NA	NA	NA
xglm-rand-domainkeywords10-langs-trim	en-fi	NA	NA	NA	NA	NA	NA	NA	NA
xglm-rand-domainkeywords10-all	en-fi	NA	NA	NA	NA	NA	NA	NA	NA
xglm-rand-domainkeywords10-all-trim	en-fi	NA	NA	NA	NA	NA	NA	NA	NA
xglm-truerand-keywords10-langs	en-fi	NA	NA	NA	NA	NA	NA	NA	NA
xglm-truerand-keywords10-langs-trim	en-fi	NA	NA	NA	NA	NA	NA	NA	NA
xglm-truerand-keywords10-all	en-fi	NA	NA	NA	NA	NA	NA	NA	NA
xglm-truerand-keywords10-all-trim	en-fi	NA	NA	NA	NA	NA	NA	NA	NA
xglm-topic3shot-seen500	en-fi	NA	NA	NA	NA	NA	NA	NA	NA
xglm-topic3shot-seen500-trim	en-fi	NA	NA	NA	NA	NA	NA	NA	NA
xglm-topic3shot-seen1000	en-fi	NA	NA	NA	NA	NA	NA	NA	NA
xglm-topic3shot-seen1000-trim	en-fi	NA	NA	NA	NA	NA	NA	NA	NA
xglm-topic3shot-seen2000	en-fi	NA	NA	NA	NA	NA	NA	NA	NA
xglm-topic3shot-seen2000-trim	en-fi	NA	NA	NA	NA	NA	NA	NA	NA
xglm-topic3shot-all500	en-fi	93.6	97.0	85.0	95.2	95.2	NA	99.4	83.8
xglm-topic3shot-all500-trim	en-fi	95.0	98.6	88.2	95.4	96.0	NA	99.4	87.6
xglm-topic3shot-all1000	en-fi	NA	NA	NA	NA	NA	NA	NA	NA
xglm-topic3shot-all1000-trim	en-fi	NA	NA	NA	NA	NA	NA	NA	NA
xglm-topic3shot-all2000	en-fi	NA	NA	NA	NA	NA	NA	NA	NA
xglm-topic3shot-all2000-trim	en-fi	NA	NA	NA	NA	NA	NA	NA	NA
xglm-bm25-3shot-all	en-fi	NA	NA	NA	NA	NA	NA	NA	NA
xglm-bm25-3shot-all-trim	en-fi	NA	NA	NA	NA	NA	NA	NA	NA
