modifier	lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
xglm-base	mean	59.4	71.3	55.8	16.6	33.1	50.8	29.8	54.2
xglm-base-trim	mean	18.0	29.6	11.8	8.2	15.5	18.6	16.9	16.9
verbose-base	mean	18.8	30.0	9.5	9.2	16.8	18.7	18.4	14.7
verbose-base-trim	mean	18.5	30.0	9.5	9.2	16.8	18.7	18.4	14.7
xglm-label	mean	24.9	37.1	17.0	8.5	17.8	26.2	16.7	35.4
xglm-label-trim	mean	16.3	27.6	8.2	7.9	14.3	18.4	16.1	13.9
xglm-rand-label	mean	25.0	39.4	23.3	8.8	18.0	24.0	17.1	34.2
xglm-rand-label-trim	mean	16.2	27.6	8.5	8.0	14.4	18.2	16.3	13.6
xglm-keywords10-seen200	mean	35.2	53.9	46.4	16.6	28.2	52.2	25.5	52.4
xglm-keywords10-seen200-trim	mean	17.3	28.8	9.9	8.2	15.5	18.3	16.8	15.6
xglm-rand-keywords10-seen200	mean	33.3	54.6	48.2	12.5	23.6	39.9	20.8	50.2
xglm-rand-keywords10-seen200-trim	mean	17.0	28.1	10.2	7.9	15.0	18.1	16.4	14.7
xglm-keywords10-all500	mean	32.8	52.8	44.7	12.5	23.9	32.1	18.8	46.9
xglm-keywords10-all500-trim	mean	NA	NA	NA	NA	NA	NA	NA	NA
xglm-keywords30-seen200	mean	36.2	59.8	51.8	12.6	24.7	43.0	20.7	47.7
xglm-keywords30-seen200-trim	mean	18.0	29.7	10.9	8.4	15.4	18.5	16.7	16.8
xglm-topic3shot-seen200	mean	NA	30.6	12.2	NA	NA	NA	NA	16.9
xglm-topic3shot-seen200-trim	mean	NA	NA	NA	NA	NA	NA	NA	NA
xglm-topic3shot-all500	mean	19.1	30.4	12.7	8.4	16.1	21.1	16.8	15.8
xglm-topic3shot-all500-trim	mean	16.5	27.4	8.8	8.1	15.2	17.6	16.5	14.1
xglm-topic3shot-cc100	mean	NA	NA	NA	NA	NA	NA	NA	NA
xglm-topic3shot-cc100-trim	mean	NA	NA	NA	NA	NA	NA	NA	NA
xglm-topic1shot-seen200	mean	24.5	36.2	18.9	11.0	19.2	27.4	19.8	23.7
xglm-topic1shot-seen200-trim	mean	16.3	27.4	9.4	8.3	15.0	17.9	16.1	14.0
xglm-rand-topic3shot-seen200	mean	19.3	30.4	13.9	9.0	16.0	19.8	16.9	15.6
xglm-rand-topic3shot-seen200-trim	mean	16.5	27.1	9.4	8.3	15.3	18.1	16.8	14.1
xglm-rand-domain3shot-langs	mean	16.7	27.6	8.4	8.0	15.0	17.9	16.6	NA
xglm-rand-domain3shot-langs-trim	mean	16.5	27.4	8.4	8.0	15.0	17.9	16.6	NA
xglm-rand-domain3shot-all	mean	17.1	27.9	8.7	8.1	15.3	18.0	16.6	NA
xglm-rand-domain3shot-all-trim	mean	16.5	27.4	8.4	8.1	15.1	17.9	16.6	NA
xglm-truerand-3shot-langs	mean	16.7	27.6	8.8	7.9	15.0	18.1	16.5	NA
xglm-truerand-3shot-langs-trim	mean	16.5	27.5	8.6	7.9	14.9	18.1	16.5	NA
xglm-truerand-3shot-all	mean	17.1	27.8	9.1	7.9	15.4	18.2	16.5	NA
xglm-truerand-3shot-all-trim	mean	16.6	27.2	8.7	7.9	15.2	18.0	16.5	NA
xglm-topic5shot-seen200	mean	18.7	30.0	13.4	8.2	15.9	18.5	17.1	NA
xglm-topic5shot-seen200-trim	mean	16.4	27.5	9.1	8.0	15.1	18.0	16.6	NA
xglm-keywords10-cc100	mean	31.3	54.1	47.9	12.6	23.2	35.3	19.8	NA
xglm-keywords10-cc100-trim	mean	17.1	28.3	9.9	7.8	14.9	18.2	16.6	NA
xglm-keywords10-topic3shot-seen200	mean	18.9	30.6	12.9	8.4	16.0	19.1	17.3	NA
xglm-keywords10-topic3shot-seen200-trim	mean	16.4	27.5	9.4	8.0	15.1	17.9	16.8	NA
xglm-rand-domainkeywords10-langs	mean	NA	NA	NA	NA	NA	NA	NA	NA
xglm-rand-domainkeywords10-langs-trim	mean	NA	NA	NA	NA	NA	NA	NA	NA
xglm-rand-domainkeywords10-all	mean	NA	NA	NA	NA	NA	NA	NA	NA
xglm-rand-domainkeywords10-all-trim	mean	NA	NA	NA	NA	NA	NA	NA	NA
xglm-truerand-keywords10-langs	mean	NA	NA	NA	NA	NA	NA	NA	NA
xglm-truerand-keywords10-langs-trim	mean	NA	NA	NA	NA	NA	NA	NA	NA
xglm-truerand-keywords10-all	mean	NA	NA	NA	NA	NA	NA	NA	NA
xglm-truerand-keywords10-all-trim	mean	NA	NA	NA	NA	NA	NA	NA	NA
xglm-topic3shot-seen500	mean	NA	NA	NA	NA	NA	NA	NA	NA
xglm-topic3shot-seen500-trim	mean	NA	NA	NA	NA	NA	NA	NA	NA
xglm-topic3shot-seen1000	mean	NA	NA	NA	NA	NA	NA	NA	NA
xglm-topic3shot-seen1000-trim	mean	NA	NA	NA	NA	NA	NA	NA	NA
xglm-topic3shot-seen2000	mean	NA	NA	NA	NA	NA	NA	NA	NA
xglm-topic3shot-seen2000-trim	mean	NA	NA	NA	NA	NA	NA	NA	NA
xglm-topic3shot-all500	mean	19.1	30.4	12.7	8.4	16.1	21.1	16.8	15.8
xglm-topic3shot-all500-trim	mean	16.5	27.4	8.8	8.1	15.2	17.6	16.5	14.1
xglm-topic3shot-all1000	mean	NA	NA	NA	NA	NA	NA	NA	NA
xglm-topic3shot-all1000-trim	mean	NA	NA	NA	NA	NA	NA	NA	NA
xglm-topic3shot-all2000	mean	NA	NA	NA	NA	NA	NA	NA	NA
xglm-topic3shot-all2000-trim	mean	NA	NA	NA	NA	NA	NA	NA	NA
xglm-bm25-3shot-all	mean	NA	NA	NA	NA	NA	NA	NA	NA
xglm-bm25-3shot-all-trim	mean	NA	NA	NA	NA	NA	NA	NA	NA
xglm-bm25-3shot-langsxglm-bm25-3shot-langs-trim	mean	NA	NA	NA	NA	NA	NA	NA	NA
xglm-sentsim-3shot-langs	mean	NA	NA	NA	NA	NA	NA	NA	NA
xglm-sentsim-3shot-langs-trim	mean	NA	NA	NA	NA	NA	NA	NA	NA
xglm-sentsim-3shot-all	mean	NA	NA	NA	NA	NA	NA	NA	NA
xglm-sentsim-3shot-all-trim	mean	NA	NA	NA	NA	NA	NA	NA	NA
xglm-topic3shot-lang200	mean	NA	NA	NA	NA	NA	NA	NA	NA
xglm-topic3shot-lang200-trim	mean	NA	NA	NA	NA	NA	NA	NA	NA
xglm-topic3shot-lang500	mean	NA	NA	NA	NA	NA	NA	NA	NA
xglm-topic3shot-lang500-trim	mean	NA	NA	NA	NA	NA	NA	NA	NA
xglm-topic3shot-domain200	mean	NA	NA	NA	NA	NA	NA	NA	NA
xglm-topic3shot-domain200-trim	mean	NA	NA	NA	NA	NA	NA	NA	NA
xglm-bm25-3shot-seen-all	mean	NA	NA	NA	NA	NA	NA	NA	NA
xglm-bm25-3shot-seen-all-trim	mean	NA	NA	NA	NA	NA	NA	NA	NA
xglm-sentsim-3shot-seen-all	mean	NA	NA	NA	NA	NA	NA	NA	NA
xglm-sentsim-3shot-seen-all-trim	mean	NA	NA	NA	NA	NA	NA	NA	NA
